aia_filenames,aia_iso_dates,aia_wavelengths,eve_indices,eve_dates,time_delta
aia_lev1_171a_2011_02_27t00_00_00_34z_image_lev1.fits,2011-02-27 00:00:00+00:00,171a,434880,2011-02-27 00:00:06+00:00,0 days 00:00:06
aia_lev1_211a_2011_02_08t00_00_00_62z_image_lev1.fits,2011-02-08 00:00:00+00:00,211a,407520,2011-02-08 00:00:10+00:00,0 days 00:00:10
aia_lev1_171a_2012_11_14t00_00_11_34z_image_lev1.fits,2012-11-14 00:00:11+00:00,171a,1334520,2012-11-14 00:00:06+00:00,0 days 00:00:05
aia_lev1_304a_2012_07_21t00_00_07_13z_image_lev1.fits,2012-07-21 00:00:07+00:00,304a,1169280,2012-07-21 00:00:07+00:00,0 days 00:00:00
aia_lev1_211a_2011_01_25t00_00_00_62z_image_lev1.fits,2011-01-25 00:00:00+00:00,211a,387360,2011-01-25 00:00:07+00:00,0 days 00:00:07
aia_lev1_171a_2011_04_14t00_00_00_34z_image_lev1.fits,2011-04-14 00:00:00+00:00,171a,501120,2011-04-14 00:00:09+00:00,0 days 00:00:09
aia_lev1_304a_2012_07_10t00_00_07_12z_image_lev1.fits,2012-07-10 00:00:07+00:00,304a,1153440,2012-07-10 00:00:14+00:00,0 days 00:00:07
aia_lev1_211a_2011_04_27t00_00_00_63z_image_lev1.fits,2011-04-27 00:00:00+00:00,211a,519840,2011-04-27 00:00:12+00:00,0 days 00:00:12
aia_lev1_304a_2012_10_01t00_00_07_12z_image_lev1.fits,2012-10-01 00:00:07+00:00,304a,1271160,2012-10-01 00:00:05+00:00,0 days 00:00:02
aia_lev1_171a_2011_03_06t00_00_00_34z_image_lev1.fits,2011-03-06 00:00:00+00:00,171a,444960,2011-03-06 00:00:07+00:00,0 days 00:00:07
aia_lev1_193a_2012_11_09t00_00_06_84z_image_lev1.fits,2012-11-09 00:00:06+00:00,193a,1327320,2012-11-09 00:00:05+00:00,0 days 00:00:01
aia_lev1_171a_2012_09_22t00_00_11_35z_image_lev1.fits,2012-09-22 00:00:11+00:00,171a,1258500,2012-09-22 00:00:13+00:00,0 days 00:00:02
aia_lev1_171a_2012_05_07t00_00_00_35z_image_lev1.fits,2012-05-07 00:00:00+00:00,171a,1061280,2012-05-07 00:00:10+00:00,0 days 00:00:10
aia_lev1_304a_2011_04_04t00_00_08_13z_image_lev1.fits,2011-04-04 00:00:08+00:00,304a,486720,2011-04-04 00:00:06+00:00,0 days 00:00:02
aia_lev1_304a_2011_04_25t00_00_08_12z_image_lev1.fits,2011-04-25 00:00:08+00:00,304a,516960,2011-04-25 00:00:11+00:00,0 days 00:00:03
aia_lev1_193a_2012_12_31t00_00_06_84z_image_lev1.fits,2012-12-31 00:00:06+00:00,193a,1402200,2012-12-31 00:00:08+00:00,0 days 00:00:02
aia_lev1_193a_2011_05_28t00_00_07_84z_image_lev1.fits,2011-05-28 00:00:07+00:00,193a,564480,2011-05-28 00:00:09+00:00,0 days 00:00:02
aia_lev1_193a_2012_11_16t00_00_06_84z_image_lev1.fits,2012-11-16 00:00:06+00:00,193a,1337400,2012-11-16 00:00:07+00:00,0 days 00:00:01
aia_lev1_171a_2012_06_22t00_00_00_34z_image_lev1.fits,2012-06-22 00:00:00+00:00,171a,1127520,2012-06-22 00:00:11+00:00,0 days 00:00:11
aia_lev1_171a_2012_10_18t00_00_11_34z_image_lev1.fits,2012-10-18 00:00:11+00:00,171a,1295640,2012-10-18 00:00:10+00:00,0 days 00:00:01
aia_lev1_304a_2012_07_26t00_00_07_12z_image_lev1.fits,2012-07-26 00:00:07+00:00,304a,1175640,2012-07-26 00:00:08+00:00,0 days 00:00:01
aia_lev1_193a_2012_11_13t00_00_06_84z_image_lev1.fits,2012-11-13 00:00:06+00:00,193a,1333080,2012-11-13 00:00:06+00:00,0 days 00:00:00
aia_lev1_193a_2011_02_13t00_00_07_84z_image_lev1.fits,2011-02-13 00:00:07+00:00,193a,414720,2011-02-13 00:00:12+00:00,0 days 00:00:05
aia_lev1_171a_2011_04_04t00_00_00_34z_image_lev1.fits,2011-04-04 00:00:00+00:00,171a,486720,2011-04-04 00:00:06+00:00,0 days 00:00:06
aia_lev1_211a_2011_01_12t00_00_00_63z_image_lev1.fits,2011-01-12 00:00:00+00:00,211a,368640,2011-01-12 00:00:13+00:00,0 days 00:00:13
aia_lev1_171a_2012_10_15t00_00_11_34z_image_lev1.fits,2012-10-15 00:00:11+00:00,171a,1291320,2012-10-15 00:00:09+00:00,0 days 00:00:02
aia_lev1_304a_2012_12_27t00_00_07_12z_image_lev1.fits,2012-12-27 00:00:07+00:00,304a,1396440,2012-12-27 00:00:07+00:00,0 days 00:00:00
aia_lev1_193a_2011_03_04t00_00_08_93z_image_lev1.fits,2011-03-04 00:00:08+00:00,193a,442080,2011-03-04 00:00:07+00:00,0 days 00:00:01
aia_lev1_171a_2012_04_11t00_00_00_35z_image_lev1.fits,2012-04-11 00:00:00+00:00,171a,1023840,2012-04-11 00:00:13+00:00,0 days 00:00:13
aia_lev1_171a_2011_01_13t00_00_00_34z_image_lev1.fits,2011-01-13 00:00:00+00:00,171a,370080,2011-01-13 00:00:13+00:00,0 days 00:00:13
aia_lev1_304a_2011_03_01t00_00_08_12z_image_lev1.fits,2011-03-01 00:00:08+00:00,304a,437760,2011-03-01 00:00:06+00:00,0 days 00:00:02
aia_lev1_193a_2011_03_01t00_00_07_84z_image_lev1.fits,2011-03-01 00:00:07+00:00,193a,437760,2011-03-01 00:00:06+00:00,0 days 00:00:01
aia_lev1_193a_2011_06_04t00_00_07_84z_image_lev1.fits,2011-06-04 00:00:07+00:00,193a,574560,2011-06-04 00:00:11+00:00,0 days 00:00:04
aia_lev1_211a_2011_03_30t00_00_00_62z_image_lev1.fits,2011-03-30 00:00:00+00:00,211a,479520,2011-03-30 00:00:14+00:00,0 days 00:00:14
aia_lev1_193a_2012_12_12t00_00_06_84z_image_lev1.fits,2012-12-12 00:00:06+00:00,193a,1374840,2012-12-12 00:00:14+00:00,0 days 00:00:08
aia_lev1_193a_2011_03_06t00_00_07_84z_image_lev1.fits,2011-03-06 00:00:07+00:00,193a,444960,2011-03-06 00:00:07+00:00,0 days 00:00:00
aia_lev1_211a_2011_03_11t00_00_00_63z_image_lev1.fits,2011-03-11 00:00:00+00:00,211a,452160,2011-03-11 00:00:09+00:00,0 days 00:00:09
aia_lev1_193a_2012_08_05t00_00_06_84z_image_lev1.fits,2012-08-05 00:00:06+00:00,193a,1190040,2012-08-05 00:00:10+00:00,0 days 00:00:04
aia_lev1_304a_2012_06_23t00_00_08_12z_image_lev1.fits,2012-06-23 00:00:08+00:00,304a,1128960,2012-06-23 00:00:11+00:00,0 days 00:00:03
aia_lev1_171a_2011_01_26t00_00_00_34z_image_lev1.fits,2011-01-26 00:00:00+00:00,171a,388800,2011-01-26 00:00:07+00:00,0 days 00:00:07
aia_lev1_171a_2012_05_09t00_00_00_34z_image_lev1.fits,2012-05-09 00:00:00+00:00,171a,1064160,2012-05-09 00:00:11+00:00,0 days 00:00:11
