aia_filenames,aia_iso_dates,aia_wavelengths,eve_indices,eve_dates,time_delta
aia_lev1_304a_2012_05_06t00_00_08_12z_image_lev1.fits,2012-05-06 00:00:08+00:00,304a,1059840,2012-05-06 00:00:10+00:00,0 days 00:00:02
aia_lev1_304a_2012_12_02t00_00_07_12z_image_lev1.fits,2012-12-02 00:00:07+00:00,304a,1360440,2012-12-02 00:00:11+00:00,0 days 00:00:04
aia_lev1_193a_2012_12_28t00_00_06_84z_image_lev1.fits,2012-12-28 00:00:06+00:00,193a,1397880,2012-12-28 00:00:08+00:00,0 days 00:00:02
aia_lev1_211a_2011_02_15t00_00_00_62z_image_lev1.fits,2011-02-15 00:00:00+00:00,211a,417600,2011-02-15 00:00:12+00:00,0 days 00:00:12
aia_lev1_211a_2011_02_01t00_00_00_62z_image_lev1.fits,2011-02-01 00:00:00+00:00,211a,397440,2011-02-01 00:00:08+00:00,0 days 00:00:08
aia_lev1_193a_2011_06_23t00_00_07_84z_image_lev1.fits,2011-06-23 00:00:07+00:00,193a,601920,2011-06-23 00:00:05+00:00,0 days 00:00:02
aia_lev1_193a_2012_07_03t00_00_09_22z_image_lev1.fits,2012-07-03 00:00:09+00:00,193a,1143360,2012-07-03 00:00:13+00:00,0 days 00:00:04
aia_lev1_171a_2012_07_06t00_00_11_34z_image_lev1.fits,2012-07-06 00:00:11+00:00,171a,1147680,2012-07-06 00:00:13+00:00,0 days 00:00:02
aia_lev1_193a_2011_05_17t00_00_07_84z_image_lev1.fits,2011-05-17 00:00:07+00:00,193a,548640,2011-05-17 00:00:07+00:00,0 days 00:00:00
aia_lev1_171a_2011_04_13t00_00_00_34z_image_lev1.fits,2011-04-13 00:00:00+00:00,171a,499680,2011-04-13 00:00:08+00:00,0 days 00:00:08
aia_lev1_193a_2011_02_23t00_00_07_84z_image_lev1.fits,2011-02-23 00:00:07+00:00,193a,429120,2011-02-23 00:00:14+00:00,0 days 00:00:07
aia_lev1_304a_2012_07_09t00_00_07_13z_image_lev1.fits,2012-07-09 00:00:07+00:00,304a,1152000,2012-07-09 00:00:14+00:00,0 days 00:00:07
aia_lev1_171a_2012_09_14t00_00_11_35z_image_lev1.fits,2012-09-14 00:00:11+00:00,171a,1246980,2012-09-14 00:00:10+00:00,0 days 00:00:01
aia_lev1_171a_2011_06_11t00_00_00_34z_image_lev1.fits,2011-06-11 00:00:00+00:00,171a,584640,2011-06-11 00:00:13+00:00,0 days 00:00:13
aia_lev1_171a_2012_05_17t00_00_00_34z_image_lev1.fits,2012-05-17 00:00:00+00:00,171a,1075680,2012-05-17 00:00:13+00:00,0 days 00:00:13
aia_lev1_171a_2011_01_08t00_00_00_34z_image_lev1.fits,2011-01-08 00:00:00+00:00,171a,362880,2011-01-08 00:00:12+00:00,0 days 00:00:12
aia_lev1_171a_2012_07_13t00_00_13_41z_image_lev1.fits,2012-07-13 00:00:13+00:00,171a,1157760,2012-07-13 00:00:05+00:00,0 days 00:00:08
aia_lev1_171a_2011_06_26t00_00_00_34z_image_lev1.fits,2011-06-26 00:00:00+00:00,171a,606240,2011-06-26 00:00:06+00:00,0 days 00:00:06
aia_lev1_304a_2012_10_23t00_00_07_12z_image_lev1.fits,2012-10-23 00:00:07+00:00,304a,1302840,2012-10-23 00:00:11+00:00,0 days 00:00:04
aia_lev1_193a_2011_07_01t00_00_07_84z_image_lev1.fits,2011-07-01 00:00:07+00:00,193a,613440,2011-07-01 00:00:07+00:00,0 days 00:00:00
aia_lev1_193a_2012_11_17t00_00_06_84z_image_lev1.fits,2012-11-17 00:00:06+00:00,193a,1338840,2012-11-17 00:00:07+00:00,0 days 00:00:01
aia_lev1_171a_2011_01_02t00_00_00_34z_image_lev1.fits,2011-01-02 00:00:00+00:00,171a,354240,2011-01-02 00:00:10+00:00,0 days 00:00:10
aia_lev1_171a_2012_04_09t00_00_00_35z_image_lev1.fits,2012-04-09 00:00:00+00:00,171a,1020960,2012-04-09 00:00:13+00:00,0 days 00:00:13
aia_lev1_193a_2012_09_06t00_00_06_84z_image_lev1.fits,2012-09-06 00:00:06+00:00,193a,1235460,2012-09-06 00:00:08+00:00,0 days 00:00:02
aia_lev1_304a_2011_05_27t00_00_08_12z_image_lev1.fits,2011-05-27 00:00:08+00:00,304a,563040,2011-05-27 00:00:09+00:00,0 days 00:00:01
aia_lev1_171a_2012_10_26t00_00_11_34z_image_lev1.fits,2012-10-26 00:00:11+00:00,171a,1307160,2012-10-26 00:00:12+00:00,0 days 00:00:01
aia_lev1_193a_2011_03_31t00_00_07_84z_image_lev1.fits,2011-03-31 00:00:07+00:00,193a,480960,2011-03-31 00:00:05+00:00,0 days 00:00:02
aia_lev1_171a_2012_07_24t00_00_11_34z_image_lev1.fits,2012-07-24 00:00:11+00:00,171a,1173600,2012-07-24 00:00:08+00:00,0 days 00:00:03
aia_lev1_304a_2012_05_05t00_00_08_12z_image_lev1.fits,2012-05-05 00:00:08+00:00,304a,1058400,2012-05-05 00:00:10+00:00,0 days 00:00:02
aia_lev1_304a_2012_09_24t00_00_07_12z_image_lev1.fits,2012-09-24 00:00:07+00:00,304a,1261380,2012-09-24 00:00:13+00:00,0 days 00:00:06
aia_lev1_211a_2011_03_25t00_00_00_63z_image_lev1.fits,2011-03-25 00:00:00+00:00,211a,472320,2011-03-25 00:00:13+00:00,0 days 00:00:13
aia_lev1_193a_2012_07_10t00_00_06_84z_image_lev1.fits,2012-07-10 00:00:06+00:00,193a,1153440,2012-07-10 00:00:14+00:00,0 days 00:00:08
aia_lev1_171a_2011_04_18t00_00_00_34z_image_lev1.fits,2011-04-18 00:00:00+00:00,171a,506880,2011-04-18 00:00:10+00:00,0 days 00:00:10
aia_lev1_171a_2011_03_08t00_00_00_34z_image_lev1.fits,2011-03-08 00:00:00+00:00,171a,447840,2011-03-08 00:00:08+00:00,0 days 00:00:08
aia_lev1_193a_2011_02_18t00_00_07_84z_image_lev1.fits,2011-02-18 00:00:07+00:00,193a,421920,2011-02-18 00:00:13+00:00,0 days 00:00:06
aia_lev1_193a_2012_10_16t00_00_06_84z_image_lev1.fits,2012-10-16 00:00:06+00:00,193a,1292760,2012-10-16 00:00:09+00:00,0 days 00:00:03
aia_lev1_193a_2012_05_23t00_00_07_84z_image_lev1.fits,2012-05-23 00:00:07+00:00,193a,1084320,2012-05-23 00:00:14+00:00,0 days 00:00:07
aia_lev1_304a_2011_03_27t00_00_08_12z_image_lev1.fits,2011-03-27 00:00:08+00:00,304a,475200,2011-03-27 00:00:13+00:00,0 days 00:00:05
aia_lev1_193a_2012_09_20t00_00_06_84z_image_lev1.fits,2012-09-20 00:00:06+00:00,193a,1255620,2012-09-20 00:00:12+00:00,0 days 00:00:06
aia_lev1_171a_2011_03_13t00_00_00_34z_image_lev1.fits,2011-03-13 00:00:00+00:00,171a,455040,2011-03-13 00:00:09+00:00,0 days 00:00:09
aia_lev1_171a_2011_01_20t00_00_00_34z_image_lev1.fits,2011-01-20 00:00:00+00:00,171a,380160,2011-01-20 00:00:05+00:00,0 days 00:00:05
aia_lev1_171a_2012_11_06t00_00_11_34z_image_lev1.fits,2012-11-06 00:00:11+00:00,171a,1323000,2012-11-06 00:00:14+00:00,0 days 00:00:03
aia_lev1_171a_2011_01_21t00_00_00_34z_image_lev1.fits,2011-01-21 00:00:00+00:00,171a,381600,2011-01-21 00:00:05+00:00,0 days 00:00:05
aia_lev1_171a_2012_06_25t00_00_00_35z_image_lev1.fits,2012-06-25 00:00:00+00:00,171a,1131840,2012-06-25 00:00:12+00:00,0 days 00:00:12
aia_lev1_193a_2011_02_11t00_00_07_84z_image_lev1.fits,2011-02-11 00:00:07+00:00,193a,411840,2011-02-11 00:00:11+00:00,0 days 00:00:04
aia_lev1_171a_2012_05_27t00_00_00_34z_image_lev1.fits,2012-05-27 00:00:00+00:00,171a,1090080,2012-05-27 00:00:05+00:00,0 days 00:00:05
aia_lev1_304a_2012_07_17t00_00_07_12z_image_lev1.fits,2012-07-17 00:00:07+00:00,304a,1163520,2012-07-17 00:00:06+00:00,0 days 00:00:01
aia_lev1_193a_2012_12_17t00_00_06_84z_image_lev1.fits,2012-12-17 00:00:06+00:00,193a,1382040,2012-12-17 00:00:05+00:00,0 days 00:00:01
aia_lev1_193a_2011_04_17t00_00_07_84z_image_lev1.fits,2011-04-17 00:00:07+00:00,193a,505440,2011-04-17 00:00:09+00:00,0 days 00:00:02
aia_lev1_171a_2012_11_13t00_00_11_34z_image_lev1.fits,2012-11-13 00:00:11+00:00,171a,1333080,2012-11-13 00:00:06+00:00,0 days 00:00:05
aia_lev1_193a_2011_05_29t00_00_07_84z_image_lev1.fits,2011-05-29 00:00:07+00:00,193a,565920,2011-05-29 00:00:10+00:00,0 days 00:00:03
aia_lev1_304a_2011_03_04t00_00_08_12z_image_lev1.fits,2011-03-04 00:00:08+00:00,304a,442080,2011-03-04 00:00:07+00:00,0 days 00:00:01
aia_lev1_193a_2011_05_04t00_00_07_84z_image_lev1.fits,2011-05-04 00:00:07+00:00,193a,529920,2011-05-04 00:00:14+00:00,0 days 00:00:07
aia_lev1_193a_2012_10_14t00_00_06_84z_image_lev1.fits,2012-10-14 00:00:06+00:00,193a,1289880,2012-10-14 00:00:09+00:00,0 days 00:00:03
aia_lev1_304a_2012_06_05t00_00_08_12z_image_lev1.fits,2012-06-05 00:00:08+00:00,304a,1103040,2012-06-05 00:00:07+00:00,0 days 00:00:01
aia_lev1_304a_2011_03_05t00_00_08_12z_image_lev1.fits,2011-03-05 00:00:08+00:00,304a,443520,2011-03-05 00:00:07+00:00,0 days 00:00:01
aia_lev1_211a_2011_03_28t00_00_00_62z_image_lev1.fits,2011-03-28 00:00:00+00:00,211a,476640,2011-03-28 00:00:14+00:00,0 days 00:00:14
aia_lev1_171a_2012_10_28t00_00_11_34z_image_lev1.fits,2012-10-28 00:00:11+00:00,171a,1310040,2012-10-28 00:00:12+00:00,0 days 00:00:01
aia_lev1_211a_2011_03_08t00_00_00_62z_image_lev1.fits,2011-03-08 00:00:00+00:00,211a,447840,2011-03-08 00:00:08+00:00,0 days 00:00:08
aia_lev1_193a_2012_09_19t00_00_06_84z_image_lev1.fits,2012-09-19 00:00:06+00:00,193a,1254180,2012-09-19 00:00:12+00:00,0 days 00:00:06
aia_lev1_193a_2011_03_29t00_00_07_84z_image_lev1.fits,2011-03-29 00:00:07+00:00,193a,478080,2011-03-29 00:00:14+00:00,0 days 00:00:07
aia_lev1_193a_2012_07_06t00_00_06_84z_image_lev1.fits,2012-07-06 00:00:06+00:00,193a,1147680,2012-07-06 00:00:13+00:00,0 days 00:00:07
aia_lev1_304a_2012_07_27t00_00_07_12z_image_lev1.fits,2012-07-27 00:00:07+00:00,304a,1177080,2012-07-27 00:00:08+00:00,0 days 00:00:01
aia_lev1_193a_2011_04_28t00_00_07_84z_image_lev1.fits,2011-04-28 00:00:07+00:00,193a,521280,2011-04-28 00:00:12+00:00,0 days 00:00:05
aia_lev1_211a_2011_03_03t00_00_00_62z_image_lev1.fits,2011-03-03 00:00:00+00:00,211a,440640,2011-03-03 00:00:07+00:00,0 days 00:00:07
aia_lev1_193a_2011_06_14t00_00_07_84z_image_lev1.fits,2011-06-14 00:00:07+00:00,193a,588960,2011-06-14 00:00:13+00:00,0 days 00:00:06
aia_lev1_171a_2011_01_07t00_00_00_34z_image_lev1.fits,2011-01-07 00:00:00+00:00,171a,361440,2011-01-07 00:00:12+00:00,0 days 00:00:12
aia_lev1_304a_2011_04_13t00_00_08_12z_image_lev1.fits,2011-04-13 00:00:08+00:00,304a,499680,2011-04-13 00:00:08+00:00,0 days 00:00:00
aia_lev1_304a_2011_05_23t00_00_08_12z_image_lev1.fits,2011-05-23 00:00:08+00:00,304a,557280,2011-05-23 00:00:08+00:00,0 days 00:00:00
aia_lev1_171a_2011_02_14t00_00_00_34z_image_lev1.fits,2011-02-14 00:00:00+00:00,171a,416160,2011-02-14 00:00:12+00:00,0 days 00:00:12
aia_lev1_171a_2012_07_14t00_00_11_34z_image_lev1.fits,2012-07-14 00:00:11+00:00,171a,1159200,2012-07-14 00:00:05+00:00,0 days 00:00:06
aia_lev1_304a_2011_05_02t00_00_08_12z_image_lev1.fits,2011-05-02 00:00:08+00:00,304a,527040,2011-05-02 00:00:13+00:00,0 days 00:00:05
aia_lev1_304a_2011_02_12t00_00_08_12z_image_lev1.fits,2011-02-12 00:00:08+00:00,304a,413280,2011-02-12 00:00:11+00:00,0 days 00:00:03
aia_lev1_193a_2012_04_13t00_00_07_84z_image_lev1.fits,2012-04-13 00:00:07+00:00,193a,1026720,2012-04-13 00:00:14+00:00,0 days 00:00:07
aia_lev1_171a_2011_06_06t00_00_00_34z_image_lev1.fits,2011-06-06 00:00:00+00:00,171a,577440,2011-06-06 00:00:11+00:00,0 days 00:00:11
aia_lev1_171a_2012_11_20t00_00_11_34z_image_lev1.fits,2012-11-20 00:00:11+00:00,171a,1343160,2012-11-20 00:00:08+00:00,0 days 00:00:03
aia_lev1_304a_2012_03_07t00_00_08_12z_image_lev1.fits,2012-03-07 00:00:08+00:00,304a,973440,2012-03-07 00:00:13+00:00,0 days 00:00:05
aia_lev1_211a_2011_02_11t00_00_00_62z_image_lev1.fits,2011-02-11 00:00:00+00:00,211a,411840,2011-02-11 00:00:11+00:00,0 days 00:00:11
aia_lev1_304a_2012_11_11t00_00_07_13z_image_lev1.fits,2012-11-11 00:00:07+00:00,304a,1330200,2012-11-11 00:00:06+00:00,0 days 00:00:01
aia_lev1_211a_2011_01_01t00_00_00_63z_image_lev1.fits,2011-01-01 00:00:00+00:00,211a,352800,2011-01-01 00:00:10+00:00,0 days 00:00:10
aia_lev1_211a_2011_03_16t00_00_00_62z_image_lev1.fits,2011-03-16 00:00:00+00:00,211a,459360,2011-03-16 00:00:10+00:00,0 days 00:00:10
aia_lev1_211a_2011_01_23t00_00_00_63z_image_lev1.fits,2011-01-23 00:00:00+00:00,211a,384480,2011-01-23 00:00:06+00:00,0 days 00:00:06
aia_lev1_211a_2011_03_26t00_00_00_63z_image_lev1.fits,2011-03-26 00:00:00+00:00,211a,473760,2011-03-26 00:00:13+00:00,0 days 00:00:13
aia_lev1_211a_2011_01_21t00_00_00_63z_image_lev1.fits,2011-01-21 00:00:00+00:00,211a,381600,2011-01-21 00:00:05+00:00,0 days 00:00:05
aia_lev1_193a_2012_06_02t00_00_07_84z_image_lev1.fits,2012-06-02 00:00:07+00:00,193a,1098720,2012-06-02 00:00:06+00:00,0 days 00:00:01
aia_lev1_304a_2012_08_07t00_00_07_12z_image_lev1.fits,2012-08-07 00:00:07+00:00,304a,1192920,2012-08-07 00:00:11+00:00,0 days 00:00:04
aia_lev1_193a_2012_05_30t00_00_07_84z_image_lev1.fits,2012-05-30 00:00:07+00:00,193a,1094400,2012-05-30 00:00:06+00:00,0 days 00:00:01
aia_lev1_193a_2011_02_09t00_00_07_84z_image_lev1.fits,2011-02-09 00:00:07+00:00,193a,408960,2011-02-09 00:00:11+00:00,0 days 00:00:04
aia_lev1_304a_2012_06_17t00_00_08_12z_image_lev1.fits,2012-06-17 00:00:08+00:00,304a,1120320,2012-06-17 00:00:10+00:00,0 days 00:00:02
aia_lev1_171a_2012_06_03t00_00_00_35z_image_lev1.fits,2012-06-03 00:00:00+00:00,171a,1100160,2012-06-03 00:00:07+00:00,0 days 00:00:07
aia_lev1_171a_2012_06_20t00_00_00_34z_image_lev1.fits,2012-06-20 00:00:00+00:00,171a,1124640,2012-06-20 00:00:11+00:00,0 days 00:00:11
aia_lev1_304a_2012_08_16t00_00_07_12z_image_lev1.fits,2012-08-16 00:00:07+00:00,304a,1205220,2012-08-16 00:00:13+00:00,0 days 00:00:06
aia_lev1_171a_2012_06_12t00_00_00_34z_image_lev1.fits,2012-06-12 00:00:00+00:00,171a,1113120,2012-06-12 00:00:09+00:00,0 days 00:00:09
aia_lev1_193a_2011_03_14t00_00_07_84z_image_lev1.fits,2011-03-14 00:00:07+00:00,193a,456480,2011-03-14 00:00:10+00:00,0 days 00:00:03
aia_lev1_193a_2012_09_27t00_00_06_84z_image_lev1.fits,2012-09-27 00:00:06+00:00,193a,1265700,2012-09-27 00:00:14+00:00,0 days 00:00:08
aia_lev1_304a_2011_05_11t00_00_08_12z_image_lev1.fits,2011-05-11 00:00:08+00:00,304a,540000,2011-05-11 00:00:05+00:00,0 days 00:00:03
aia_lev1_171a_2012_09_25t00_00_11_35z_image_lev1.fits,2012-09-25 00:00:11+00:00,171a,1262820,2012-09-25 00:00:13+00:00,0 days 00:00:02
aia_lev1_171a_2012_12_14t00_00_11_34z_image_lev1.fits,2012-12-14 00:00:11+00:00,171a,1377720,2012-12-14 00:00:14+00:00,0 days 00:00:03
aia_lev1_304a_2011_01_23t00_00_08_12z_image_lev1.fits,2011-01-23 00:00:08+00:00,304a,384480,2011-01-23 00:00:06+00:00,0 days 00:00:02
aia_lev1_193a_2012_11_03t00_00_06_84z_image_lev1.fits,2012-11-03 00:00:06+00:00,193a,1318680,2012-11-03 00:00:14+00:00,0 days 00:00:08
aia_lev1_193a_2012_08_09t00_00_06_84z_image_lev1.fits,2012-08-09 00:00:06+00:00,193a,1195800,2012-08-09 00:00:11+00:00,0 days 00:00:05
aia_lev1_304a_2012_09_14t00_00_07_12z_image_lev1.fits,2012-09-14 00:00:07+00:00,304a,1246980,2012-09-14 00:00:10+00:00,0 days 00:00:03
aia_lev1_171a_2012_09_05t00_00_11_35z_image_lev1.fits,2012-09-05 00:00:11+00:00,171a,1234020,2012-09-05 00:00:08+00:00,0 days 00:00:03
aia_lev1_171a_2011_03_03t00_00_00_34z_image_lev1.fits,2011-03-03 00:00:00+00:00,171a,440640,2011-03-03 00:00:07+00:00,0 days 00:00:07
aia_lev1_193a_2011_05_22t00_00_07_84z_image_lev1.fits,2011-05-22 00:00:07+00:00,193a,555840,2011-05-22 00:00:08+00:00,0 days 00:00:01
aia_lev1_193a_2012_05_17t00_00_07_84z_image_lev1.fits,2012-05-17 00:00:07+00:00,193a,1075680,2012-05-17 00:00:13+00:00,0 days 00:00:06
aia_lev1_193a_2011_06_06t00_00_07_84z_image_lev1.fits,2011-06-06 00:00:07+00:00,193a,577440,2011-06-06 00:00:11+00:00,0 days 00:00:04
aia_lev1_211a_2011_05_06t00_00_00_63z_image_lev1.fits,2011-05-06 00:00:00+00:00,211a,532800,2011-05-06 00:00:14+00:00,0 days 00:00:14
aia_lev1_193a_2012_08_26t00_00_06_84z_image_lev1.fits,2012-08-26 00:00:06+00:00,193a,1219620,2012-08-26 00:00:06+00:00,0 days 00:00:00
aia_lev1_171a_2011_04_19t00_00_00_34z_image_lev1.fits,2011-04-19 00:00:00+00:00,171a,508320,2011-04-19 00:00:10+00:00,0 days 00:00:10
aia_lev1_193a_2011_05_24t00_00_07_84z_image_lev1.fits,2011-05-24 00:00:07+00:00,193a,558720,2011-05-24 00:00:08+00:00,0 days 00:00:01
aia_lev1_304a_2012_08_01t00_00_07_13z_image_lev1.fits,2012-08-01 00:00:07+00:00,304a,1184280,2012-08-01 00:00:10+00:00,0 days 00:00:03
aia_lev1_193a_2012_11_23t00_00_06_84z_image_lev1.fits,2012-11-23 00:00:06+00:00,193a,1347480,2012-11-23 00:00:09+00:00,0 days 00:00:03
aia_lev1_193a_2012_06_06t00_00_01_84z_image_lev1.fits,2012-06-06 00:00:01+00:00,193a,1104480,2012-06-06 00:00:07+00:00,0 days 00:00:06
aia_lev1_304a_2011_05_19t00_00_08_12z_image_lev1.fits,2011-05-19 00:00:08+00:00,304a,551520,2011-05-19 00:00:07+00:00,0 days 00:00:01
aia_lev1_193a_2012_04_07t00_00_07_84z_image_lev1.fits,2012-04-07 00:00:07+00:00,193a,1018080,2012-04-07 00:00:12+00:00,0 days 00:00:05
aia_lev1_193a_2012_10_15t00_00_06_84z_image_lev1.fits,2012-10-15 00:00:06+00:00,193a,1291320,2012-10-15 00:00:09+00:00,0 days 00:00:03
aia_lev1_193a_2012_08_29t00_00_06_84z_image_lev1.fits,2012-08-29 00:00:06+00:00,193a,1223940,2012-08-29 00:00:06+00:00,0 days 00:00:00
aia_lev1_304a_2011_02_25t00_00_08_12z_image_lev1.fits,2011-02-25 00:00:08+00:00,304a,432000,2011-02-25 00:00:05+00:00,0 days 00:00:03
aia_lev1_171a_2011_06_03t00_00_00_34z_image_lev1.fits,2011-06-03 00:00:00+00:00,171a,573120,2011-06-03 00:00:11+00:00,0 days 00:00:11
aia_lev1_193a_2011_05_19t00_00_07_84z_image_lev1.fits,2011-05-19 00:00:07+00:00,193a,551520,2011-05-19 00:00:07+00:00,0 days 00:00:00
aia_lev1_304a_2012_07_04t00_00_07_13z_image_lev1.fits,2012-07-04 00:00:07+00:00,304a,1144800,2012-07-04 00:00:13+00:00,0 days 00:00:06
aia_lev1_304a_2011_06_21t00_00_08_12z_image_lev1.fits,2011-06-21 00:00:08+00:00,304a,599040,2011-06-21 00:00:05+00:00,0 days 00:00:03
aia_lev1_193a_2012_10_20t00_00_06_84z_image_lev1.fits,2012-10-20 00:00:06+00:00,193a,1298520,2012-10-20 00:00:10+00:00,0 days 00:00:04
aia_lev1_193a_2012_11_30t00_00_08_93z_image_lev1.fits,2012-11-30 00:00:08+00:00,193a,1357560,2012-11-30 00:00:11+00:00,0 days 00:00:03
aia_lev1_304a_2012_09_07t00_00_07_12z_image_lev1.fits,2012-09-07 00:00:07+00:00,304a,1236900,2012-09-07 00:00:09+00:00,0 days 00:00:02
aia_lev1_304a_2012_09_25t00_00_07_12z_image_lev1.fits,2012-09-25 00:00:07+00:00,304a,1262820,2012-09-25 00:00:13+00:00,0 days 00:00:06
aia_lev1_193a_2012_05_27t00_00_07_84z_image_lev1.fits,2012-05-27 00:00:07+00:00,193a,1090080,2012-05-27 00:00:05+00:00,0 days 00:00:02
aia_lev1_193a_2012_03_17t00_00_07_84z_image_lev1.fits,2012-03-17 00:00:07+00:00,193a,987840,2012-03-17 00:00:06+00:00,0 days 00:00:01
aia_lev1_304a_2011_03_06t00_00_08_12z_image_lev1.fits,2011-03-06 00:00:08+00:00,304a,444960,2011-03-06 00:00:07+00:00,0 days 00:00:01
aia_lev1_304a_2012_05_10t00_00_08_12z_image_lev1.fits,2012-05-10 00:00:08+00:00,304a,1065600,2012-05-10 00:00:11+00:00,0 days 00:00:03
aia_lev1_193a_2012_10_29t00_00_06_84z_image_lev1.fits,2012-10-29 00:00:06+00:00,193a,1311480,2012-10-29 00:00:12+00:00,0 days 00:00:06
aia_lev1_193a_2012_03_08t00_00_07_84z_image_lev1.fits,2012-03-08 00:00:07+00:00,193a,974880,2012-03-08 00:00:13+00:00,0 days 00:00:06
aia_lev1_171a_2012_11_09t00_00_11_34z_image_lev1.fits,2012-11-09 00:00:11+00:00,171a,1327320,2012-11-09 00:00:05+00:00,0 days 00:00:06
aia_lev1_193a_2012_09_09t00_00_06_84z_image_lev1.fits,2012-09-09 00:00:06+00:00,193a,1239780,2012-09-09 00:00:09+00:00,0 days 00:00:03
aia_lev1_193a_2012_06_23t00_00_07_84z_image_lev1.fits,2012-06-23 00:00:07+00:00,193a,1128960,2012-06-23 00:00:11+00:00,0 days 00:00:04
aia_lev1_193a_2012_08_04t00_00_06_84z_image_lev1.fits,2012-08-04 00:00:06+00:00,193a,1188600,2012-08-04 00:00:10+00:00,0 days 00:00:04
aia_lev1_171a_2012_03_13t00_00_00_34z_image_lev1.fits,2012-03-13 00:00:00+00:00,171a,982080,2012-03-13 00:00:00+00:00,0 days 00:00:00
aia_lev1_304a_2012_06_25t00_00_08_14z_image_lev1.fits,2012-06-25 00:00:08+00:00,304a,1131840,2012-06-25 00:00:12+00:00,0 days 00:00:04
aia_lev1_193a_2011_02_05t00_00_07_84z_image_lev1.fits,2011-02-05 00:00:07+00:00,193a,403200,2011-02-05 00:00:10+00:00,0 days 00:00:03
aia_lev1_171a_2012_03_30t00_00_00_34z_image_lev1.fits,2012-03-30 00:00:00+00:00,171a,1006560,2012-03-30 00:00:10+00:00,0 days 00:00:10
aia_lev1_171a_2012_09_30t00_00_11_34z_image_lev1.fits,2012-09-30 00:00:11+00:00,171a,1270020,2012-09-30 00:00:05+00:00,0 days 00:00:06
aia_lev1_193a_2011_04_05t00_00_07_84z_image_lev1.fits,2011-04-05 00:00:07+00:00,193a,488160,2011-04-05 00:00:06+00:00,0 days 00:00:01
aia_lev1_193a_2012_09_11t00_00_06_84z_image_lev1.fits,2012-09-11 00:00:06+00:00,193a,1242660,2012-09-11 00:00:10+00:00,0 days 00:00:04
aia_lev1_304a_2013_01_01t00_00_07_13z_image_lev1.fits,2013-01-01 00:00:07+00:00,304a,1403640,2013-01-01 00:00:09+00:00,0 days 00:00:02
aia_lev1_304a_2012_04_20t00_00_08_12z_image_lev1.fits,2012-04-20 00:00:08+00:00,304a,1036800,2012-04-20 00:00:06+00:00,0 days 00:00:02
aia_lev1_193a_2011_01_16t00_00_07_84z_image_lev1.fits,2011-01-16 00:00:07+00:00,193a,374400,2011-01-16 00:00:14+00:00,0 days 00:00:07
aia_lev1_193a_2012_06_08t00_00_07_84z_image_lev1.fits,2012-06-08 00:00:07+00:00,193a,1107360,2012-06-08 00:00:08+00:00,0 days 00:00:01
aia_lev1_171a_2012_09_28t00_00_11_34z_image_lev1.fits,2012-09-28 00:00:11+00:00,171a,1267140,2012-09-28 00:00:14+00:00,0 days 00:00:03
aia_lev1_193a_2011_01_15t00_00_07_84z_image_lev1.fits,2011-01-15 00:00:07+00:00,193a,372960,2011-01-15 00:00:14+00:00,0 days 00:00:07
aia_lev1_304a_2012_03_15t00_00_08_12z_image_lev1.fits,2012-03-15 00:00:08+00:00,304a,984960,2012-03-15 00:00:05+00:00,0 days 00:00:03
aia_lev1_193a_2012_06_28t00_00_07_84z_image_lev1.fits,2012-06-28 00:00:07+00:00,193a,1136160,2012-06-28 00:00:13+00:00,0 days 00:00:06
aia_lev1_171a_2012_04_24t00_00_00_34z_image_lev1.fits,2012-04-24 00:00:00+00:00,171a,1042560,2012-04-24 00:00:07+00:00,0 days 00:00:07
aia_lev1_304a_2011_01_24t00_00_08_12z_image_lev1.fits,2011-01-24 00:00:08+00:00,304a,385920,2011-01-24 00:00:06+00:00,0 days 00:00:02
aia_lev1_304a_2011_07_03t00_00_08_13z_image_lev1.fits,2011-07-03 00:00:08+00:00,304a,616320,2011-07-03 00:00:08+00:00,0 days 00:00:00
aia_lev1_171a_2012_04_16t00_00_00_34z_image_lev1.fits,2012-04-16 00:00:00+00:00,171a,1031040,2012-04-16 00:00:05+00:00,0 days 00:00:05
aia_lev1_193a_2012_05_05t00_00_07_84z_image_lev1.fits,2012-05-05 00:00:07+00:00,193a,1058400,2012-05-05 00:00:10+00:00,0 days 00:00:03
aia_lev1_304a_2012_09_20t00_00_07_12z_image_lev1.fits,2012-09-20 00:00:07+00:00,304a,1255620,2012-09-20 00:00:12+00:00,0 days 00:00:05
aia_lev1_211a_2011_05_17t00_00_00_62z_image_lev1.fits,2011-05-17 00:00:00+00:00,211a,548640,2011-05-17 00:00:07+00:00,0 days 00:00:07
aia_lev1_211a_2011_03_12t00_00_00_62z_image_lev1.fits,2011-03-12 00:00:00+00:00,211a,453600,2011-03-12 00:00:09+00:00,0 days 00:00:09
aia_lev1_171a_2011_03_02t00_00_00_34z_image_lev1.fits,2011-03-02 00:00:00+00:00,171a,439200,2011-03-02 00:00:06+00:00,0 days 00:00:06
aia_lev1_171a_2011_03_26t00_00_00_35z_image_lev1.fits,2011-03-26 00:00:00+00:00,171a,473760,2011-03-26 00:00:13+00:00,0 days 00:00:13
aia_lev1_171a_2012_05_08t00_00_00_34z_image_lev1.fits,2012-05-08 00:00:00+00:00,171a,1062720,2012-05-08 00:00:10+00:00,0 days 00:00:10
